"qty_pct","cov_01","cov_02","cov_03","cov_04","cov_05","cov_06","cov_07","cov_08","cov_09","cov_10","cov_11","cov_12","cov_13","cov_14","cov_15","cov_16","cov_17","cov_18","cov_19","cov_20"
0,252240,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,1,0,263
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,201099,0,0,0,0,0,0,0,25,0,0,0,0,0,23,0,0,4,0,163
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,72372,0,0,0,25676,0,11,0,0,3,12,0,1,0,33,0,11,6,0,64
30,50996,0,0,0,9344,5,0,5997,18,0,0,5,11,13,12,1,3,2,2,46
35,58400,0,9265,5497,4234,0,1856,2,2267,9,5,8,7,2,27,1,0,2,1,50
40,22047,0,0,5124,3912,2599,721,0,745,2962,10,0,2,3,3,5,5,0,2,24
45,193065,1896,10832,14264,6495,5193,7441,3222,1621,1025,1549,390,99,11,54,7,4,6,3,128
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,13243,4021,7326,10668,13299,6149,5980,4619,2282,4004,1249,3823,1038,327,170,41,19,5,2,58
65,86403,410,798,1296,2823,1105,692,1003,347,325,183,179,145,48,75,19,20,8,1,65
70,33650,1546,2850,6146,19524,4228,3925,3023,2333,1370,1013,1197,1016,427,264,147,108,35,22,56
75,22252,1052,2972,4663,10972,4712,3484,5801,1996,1348,1271,687,732,612,335,242,169,100,69,149
80,26669,741,7814,13427,8208,5591,6731,2179,3067,2800,1101,774,661,668,297,270,190,138,100,275
85,20681,2169,6684,15092,8116,7603,5248,4431,2870,2037,1444,1592,943,851,407,285,287,186,110,468
90,13594,2606,6536,12093,12956,8921,6852,5282,3737,2606,1930,1458,1206,1061,726,458,396,296,238,980
95,6306,1730,4793,9098,10322,9776,8205,6541,4915,3685,2737,2075,1601,1480,1023,823,681,558,447,2470
